Place,CarNum,Team,Run1 Time,Run1 Cones,Run1 AdjTime,Run2 Time,Run2 Cones,Run2 AdjTime,Run3 Time,Run3 Cones,Run3 AdjTime,Run4 Time,Run4 Cones,Run4 AdjTime,BestTime,Penalty,Score
1,35,Texas A & M Univ - College Station,4.236,,4.236,4.263,,4.263,4.206,,4.206,4.209,,4.209,4.206,,100
2,3,The Ohio State University,4.368,,4.368,4.434,,4.434,4.290,,4.290,4.271,,4.271,4.271,,95.68
3,83,Univ of South Florida,4.385,,4.385,4.275,,4.275,,,DNA,,,DNA,4.275,,95.44
4,106,Embry-Riddle Aero Univ - Daytona Beach,4.412,,4.412,4.275,,4.275,,,DNA,,,DNA,4.275,,95.39
5,76,Univ of Alabama - Tuscaloosa,4.511,,4.511,4.395,,4.395,4.344,,4.344,4.277,,4.277,4.277,,95.27
6,42,Univ of Oklahoma,4.661,,4.661,4.303,,4.303,4.716,,4.716,4.819,,4.819,4.303,,93.57
7,38,North Carolina State Univ - Raleigh,4.308,,4.308,,,DNF,16.845,,16.845,8.361,,8.361,4.308,,93.25
8,127,Univ of Connecticut,9.899,,9.899,4.837,,4.837,4.337,,4.337,4.607,,4.607,4.337,,91.35
9,145,Instituto Maua de Tecnologia,4.427,,4.427,4.388,,4.388,4.364,,4.364,4.395,,4.395,4.364,,89.65
10,23,Kansas State Univ,5.154,,5.154,4.370,,4.370,4.525,,4.525,4.435,,4.435,4.370,,89.27
11,101,Minnesota State University - Mankato,4.462,,4.462,4.399,,4.399,4.458,,4.458,4.422,,4.422,4.399,,87.45
12,98,Univ of Nebraska - Lincoln,4.488,,4.488,4.400,,4.400,,,DNA,,,DNA,4.400,,87.39
13,45,California State Univ - Northridge,4.608,,4.608,4.665,,4.665,4.407,,4.407,4.411,,4.411,4.407,,86.98
14,18,Kennesaw State University,4.824,,4.824,4.708,,4.708,4.490,,4.490,4.456,,4.456,4.456,,83.95
15,49,Univ of Maryland - College Park,4.925,,4.925,4.979,,4.979,4.564,,4.564,4.465,,4.465,4.465,,83.43
16,16,Villanova Univ,4.720,,4.720,4.493,,4.493,4.738,,4.738,4.498,,4.498,4.493,,81.76
17,67,Univ of Minnesota - Twin Cities,4.708,,4.708,4.511,,4.511,4.593,,4.593,4.527,,4.527,4.511,,80.64
18,47,Univ of Kentucky,4.837,,4.837,4.728,,4.728,4.535,,4.535,4.720,,4.720,4.535,,79.24
19,68,AGH Univ of Science and Technology,4.645,,4.645,4.759,,4.759,4.725,,4.725,4.560,,4.560,4.560,,77.79
20,135,Univ of Wisconsin - Madison,4.562,,4.562,4.812,,4.812,5.246,,5.246,,,DNA,4.562,,77.66
21,40,Universite de Sherbrooke,4.764,,4.764,4.722,,4.722,4.709,,4.709,4.575,,4.575,4.575,,76.92
22 T,8,Purdue Univ - W Lafayette,4.686,,4.686,4.920,,4.920,4.597,,4.597,4.697,,4.697,4.597,,75.64
22 T,80,California State Univ - Fullerton,4.597,,4.597,4.684,,4.684,,,DNA,,,DNA,4.597,,75.64
24,102,Missouri University of Science and Tech,5.015,,5.015,4.644,,4.644,5.022,,5.022,4.612,,4.612,4.612,,74.83
25,21,Oklahoma State Univ,4.686,,4.686,4.640,,4.640,4.690,,4.690,4.613,,4.613,4.613,,74.73
26,60,Univ of Illinois - Chicago,4.671,,4.671,4.619,,4.619,4.859,,4.859,4.660,,4.660,4.619,,74.42
27,91,Mississippi State Univ,5.012,,5.012,4.637,,4.637,5.057,,5.057,4.844,,4.844,4.637,,73.39
28,94,Univ of Colorado - Boulder,,,DNF,4.852,,4.852,4.641,,4.641,,,DNA,4.641,,73.17
29,25,California State Poly Univ - Pomona,4.645,,4.645,,,DNA,,,DNA,,,DNA,4.645,,72.97
30,6,California Polytechnic State Univ-SLO,4.792,,4.792,4.647,,4.647,4.764,,4.764,4.855,,4.855,4.647,,72.82
31,65,Hope College,4.952,,4.952,4.865,,4.865,4.775,,4.775,4.663,,4.663,4.663,,71.98
32,86,Univ of Akron,,,DNF,5.009,,5.009,4.663,,4.663,,,DNA,4.663,,71.96
33,104,Washington Univ - St Louis,5.161,,5.161,4.917,,4.917,4.981,,4.981,4.664,,4.664,4.664,,71.9
34,73,Univ of Puerto Rico-Mayaquez,4.928,,4.928,4.940,,4.940,4.905,,4.905,4.665,,4.665,4.665,,71.83
35,121,Univ of Saskatchewan,4.676,,4.676,4.715,,4.715,5.616,,5.616,6.298,,6.298,4.676,,71.24
36,108,Lawrence Technological Univ,4.915,,4.915,4.694,,4.694,4.918,,4.918,5.641,,5.641,4.694,,70.26
37,57,Oakland University,4.765,,4.765,5.380,,5.380,5.529,,5.529,4.705,,4.705,4.705,,69.67
38,109,Temple Univ,4.832,,4.832,4.726,,4.726,5.155,,5.155,4.714,,4.714,4.714,,69.18
39,20,Univ of Victoria,4.764,,4.764,5.907,,5.907,4.829,,4.829,4.724,,4.724,4.724,,68.63
