,Place,CarNum,Team,DPoecnualt ym ent,RawScore,LatePenalty,Status,Score
1,1,145,Instituto Maua de Tecnologia,,150,,Final,150
2,2,38,North Carolina State Univ - Raleigh,,147,,Final,147
3,3,135,Univ of Wisconsin - Madison,,145,,Final,145
4,4,3,The Ohio State University,,144,,Final,144
5,5,68,AGH Univ of Science and Technology,,132,,Final,132
6,6,84,Univ of British Columbia,,125,,Final,125
7,7 T,30,Univ of Calif - Berkeley,,130,10,Final,120
8,7 T,109,Temple Univ,,120,,Final,120
9,9,45,California State Univ - Northridge,,119,,Final,119
10,10,107,Virginia Tech,,105,,Final,105
11,11 T,6,California Polytechnic State Univ-SLO,,100,,,100
12,11 T,7,Georgia Institute of Technology,,100,,,100
13,11 T,8,Purdue Univ - W Lafayette,,100,,,100
14,11 T,9,Univ of North Carolina - Charlotte,,100,,,100
15,11 T,16,Villanova Univ,,100,,,100
16,11 T,20,Univ of Victoria,,100,,,100
17,11 T,23,Kansas State Univ,,100,,,100
18,11 T,25,California State Poly Univ - Pomona,,100,,,100
19,11 T,29,Univ of Texas - Austin,,100,,,100
20,11 T,35,Texas A & M Univ - College Station,,100,,,100
21,11 T,53,Clemson Univ,,100,,,100
22,11 T,57,Oakland University,,100,,,100
23,11 T,76,Univ of Alabama - Tuscaloosa,,100,,,100
24,11 T,86,Univ of Akron,,100,,,100
25,11 T,98,Univ of Nebraska - Lincoln,,100,,,100
26,11 T,101,Minnesota State University - Mankato,,100,,,100
27,11 T,105,Univ of Southern California,,100,,,100
28,11 T,126,Arizona State Univ - Tempe,,100,,,100
29,11 T,127,Univ of Connecticut,,100,,,100
30,30 T,49,Univ of Maryland - College Park,5,100,,,95
31,30 T,67,Univ of Minnesota - Twin Cities,5,100,,,95
32,32,104,Washington Univ - St Louis,,100,10,,90
33,33 T,14,Univ of Cincinnati,,80,,,80
34,33 T,18,Kennesaw State University,,80,,,80
35,33 T,24,Brown Univ,,80,,,80
36,33 T,27,Carleton Univ,,80,,,80
37,33 T,31,Liberty Univ,,80,,,80
38,33 T,32,Colorado School of Mines,,80,,,80
39,33 T,40,Universite de Sherbrooke,,80,,,80
40,33 T,46,York College of Pennsylvania,,80,,,80
41,33 T,48,Univ of Central Florida,,80,,,80
42,33 T,63,Duke Univ,,80,,,80
1,33 T,66,Univ of Michigan - Dearborn,,80,,,80
2,33 T,71,Univ of Hartford,,80,,,80
3,33 T,73,Univ of Puerto Rico-Mayaquez,,80,,,80
4,33 T,80,California State Univ - Fullerton,,80,,,80
5,33 T,90,Texas Tech Univ,,80,,,80
6,33 T,91,Mississippi State Univ,,80,,,80
